epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.7644,1.1232,3.6951,0.98783,0.00319,0.07914,0.00025,0.00012,1.00969,3.66022,0.95667,2e-05,2e-05,2e-05
2,27.701,1.17254,3.63642,0.96738,0.01899,0.47122,0.01242,0.00723,0.90964,3.57374,0.89979,5.8812e-05,5.8812e-05,5.8812e-05
3,40.5747,1.06606,3.32704,0.92059,0.03928,0.97482,0.08213,0.05635,0.95252,3.35026,0.86453,9.604e-05,9.604e-05,9.604e-05
4,54.5622,1.02749,2.84369,0.87554,0.04,0.99281,0.09639,0.06604,1.00216,3.23326,0.86261,0.000131684,0.000131684,0.000131684
5,71.4308,1.04085,2.28662,0.86573,0.04,0.99281,0.1034,0.07063,0.96081,3.14038,0.85561,0.000165744,0.000165744,0.000165744
6,88.4152,0.95485,1.49302,0.84844,0.04,0.99281,0.10681,0.07635,0.90881,3.00947,0.8481,0.00019822,0.00019822,0.00019822
7,100.217,0.95237,1.03688,0.84251,0.04,0.99281,0.91474,0.63293,0.95115,2.79042,0.86133,0.000229112,0.000229112,0.000229112
8,113.002,0.96982,0.82621,0.87755,0.07551,0.99281,0.995,0.65489,0.97258,2.46992,0.86821,0.00025842,0.00025842,0.00025842
9,127.755,0.9572,0.75865,0.8704,0.99976,0.99281,0.995,0.66495,1.00457,2.28146,0.87744,0.000286144,0.000286144,0.000286144
10,141.916,0.92532,0.83585,0.88184,1,0.9273,0.995,0.69349,1.03518,2.10737,0.89293,0.000312284,0.000312284,0.000312284
11,153.65,1.0843,0.8572,0.87678,1,0.9875,0.995,0.69648,1.02379,1.97223,0.89085,0.00033684,0.00033684,0.00033684
12,165.278,0.92814,0.76858,0.88808,0.99972,0.99281,0.995,0.71072,0.93686,1.8837,0.86528,0.000359812,0.000359812,0.000359812
