epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7173,1.25094,3.92695,1.09462,0.00576,0.1541,0.0018,0.00092,1.08256,3.9109,1.04712,5.001e-05,5.001e-05,5.001e-05
2,64.9157,1.23666,3.46833,1.03942,0.02907,0.72487,0.02732,0.01714,1.02558,3.57051,0.91942,0.00011438,0.00011438,0.00011438
3,91.3832,1.14655,2.92152,0.92833,0.03987,0.9964,0.04789,0.03011,1.07418,3.39135,0.89888,0.000176109,0.000176109,0.000176109
4,120.36,1.13073,1.93214,0.90825,0.03723,0.92518,0.39475,0.24299,1.04216,3.09766,0.89457,0.000235197,0.000235197,0.000235197
5,147.275,1.11013,1.34013,0.94751,0.03499,0.85612,0.56756,0.3541,1.02934,2.90357,0.89209,0.000291645,0.000291645,0.000291645
6,175.289,1.06805,1.28532,0.91994,0.04015,0.99281,0.89998,0.63031,1.0213,2.72966,0.89102,0.000345452,0.000345452,0.000345452
7,202.4,1.09154,1.03366,0.92152,0.04011,0.9964,0.97859,0.70121,0.987,2.64167,0.88772,0.000396619,0.000396619,0.000396619
8,229.009,1.08213,0.98086,0.93642,0.04009,0.9964,0.98636,0.70679,1.00475,2.63629,0.8924,0.000445146,0.000445146,0.000445146
9,255.774,1.07484,0.88316,0.91436,0.04015,0.9964,0.98965,0.70009,1.00173,2.61792,0.89958,0.000491032,0.000491032,0.000491032
10,287.503,1.00801,0.84489,0.91795,0.04003,0.9964,0.9921,0.73594,0.92509,2.46967,0.89902,0.000534277,0.000534277,0.000534277
11,317.213,1.0544,0.79621,0.94064,1,0.42549,0.97825,0.68917,0.9821,2.30952,0.92721,0.000574882,0.000574882,0.000574882
12,346.664,1.01452,0.78466,0.94691,1,0.36756,0.91583,0.67302,0.95803,2.23909,0.92185,0.000612846,0.000612846,0.000612846
13,373.639,1.06823,0.78423,0.92605,0.62258,0.35164,0.81033,0.59642,0.95357,2.07431,0.91776,0.00064817,0.00064817,0.00064817
14,405.96,1.02163,0.75941,0.92056,0.55948,0.5154,0.63619,0.46801,0.94664,1.99657,0.90948,0.000680853,0.000680853,0.000680853
15,436.244,0.94736,0.70227,0.89714,0.70995,0.77023,0.73064,0.52954,0.96744,1.8494,0.90764,0.000710895,0.000710895,0.000710895
16,463.813,0.99053,0.76929,0.90326,0.80661,0.9509,0.80718,0.591,0.95745,1.71778,0.90173,0.000738298,0.000738298,0.000738298
17,504.819,1.01255,0.7202,0.94494,0.75108,0.9964,0.82044,0.61089,0.94705,1.48236,0.89347,0.000763059,0.000763059,0.000763059
18,541.249,0.97925,0.70405,0.92457,0.72293,0.97482,0.72096,0.53717,0.92016,1.25994,0.88429,0.00078518,0.00078518,0.00078518
19,574.015,0.94411,0.6952,0.89119,0.99887,0.98243,0.995,0.74171,0.95561,1.13656,0.8992,0.000804661,0.000804661,0.000804661
20,600.588,0.97512,0.67262,0.92088,0.99874,0.99409,0.995,0.75505,0.90365,1.08298,0.88498,0.000821501,0.000821501,0.000821501
21,630.575,0.94636,0.6467,0.92521,0.99912,0.9964,0.995,0.76842,0.87907,1.11368,0.87713,0.0008357,0.0008357,0.0008357
22,662.545,0.92872,0.62794,0.90174,0.9984,0.9964,0.995,0.76879,0.8743,1.12529,0.87636,0.000847259,0.000847259,0.000847259
23,689.359,0.92309,0.65968,0.90005,0.99859,0.9964,0.995,0.76852,0.88139,1.03574,0.87733,0.000856178,0.000856178,0.000856178
24,718.194,0.9084,0.62619,0.90305,0.99835,0.9964,0.995,0.7501,0.94447,0.92529,0.89137,0.000862456,0.000862456,0.000862456
25,748.246,0.96279,0.63991,0.90261,0.9984,0.9964,0.995,0.74823,0.95045,0.86728,0.89723,0.000866093,0.000866093,0.000866093
26,778.751,0.97189,0.64219,0.91121,0.99705,0.9964,0.995,0.76403,0.8986,0.81613,0.88784,0.000841835,0.000841835,0.000841835
27,808.248,0.98182,0.65684,0.90957,0.9955,0.9964,0.995,0.77243,0.87007,0.76093,0.87789,0.000808828,0.000808828,0.000808828
28,837.236,0.89107,0.62104,0.9066,0.99587,0.9964,0.995,0.76526,0.90635,0.7182,0.88076,0.000775822,0.000775822,0.000775822
